cve,description
CVE-2024-50368,"707, 74, 77, 78"
CVE-2024-50369,"707, 74, 77, 78"
CVE-2024-50370,"707, 74, 77, 78"
CVE-2024-50371,"707, 74, 77, 78"
CVE-2024-50372,"707, 74, 77, 78"
CVE-2024-50373,"707, 74, 77, 78"
CVE-2024-50374,"707, 74, 77, 78"
CVE-2024-50375,"707, 74, 77, 78"
CVE-2024-50376,"707, 74, 77, 78"
CVE-2024-50377,"707, 74, 77, 78"
CVE-2024-8899,"200, 664, 668"
CVE-2023-0163,"1321, 664, 913, 915"
CVE-2023-1521,"426, 642, 664, 668, 673"
CVE-2023-2142,"707, 74, 79"
CVE-2024-38830,
CVE-2024-38831,"707, 74, 77"
CVE-2024-38832,
CVE-2024-38833,
CVE-2024-38834,
CVE-2024-47248,"118, 119, 120, 664"
CVE-2024-47249,"1285, 129, 20, 707"
CVE-2024-47250,"118, 119, 125, 664"
CVE-2024-51569,"118, 119, 125, 664"
CVE-2016-10408,284
CVE-2017-18306,"200, 664, 668"
CVE-2017-18307,"200, 664, 668"
CVE-2018-11816,"118, 119, 416, 664, 666, 672, 825"
CVE-2018-5852,"118, 119, 125, 126, 664, 788"
CVE-2024-11691,
CVE-2024-11692,"1390, 284, 287, 290"
CVE-2024-11693,
CVE-2024-11694,"707, 74, 79"
CVE-2024-11695,"1021, 221, 441, 451, 610, 664, 684, 710"
CVE-2024-11696,
CVE-2024-11697,"664, 707, 74, 913, 94"
CVE-2024-11698,
CVE-2024-11699,"664, 707, 74, 913, 94"
CVE-2024-11700,"1021, 221, 441, 451, 610, 664, 684, 710"
CVE-2024-11701,"1390, 284, 287, 290"
CVE-2024-11702,"116, 707, 838"
CVE-2024-11703,
CVE-2024-11704,"118, 119, 1341, 415, 573, 664, 666, 672, 675, 710, 825"
CVE-2024-11705,"476, 703, 710, 754"
CVE-2024-11706,"476, 703, 710, 754"
CVE-2024-11708,"362, 691"
CVE-2024-53975,
CVE-2024-53976,"1021, 221, 441, 451, 610, 664, 684, 710"
CVE-2024-8236,"707, 74, 79"
CVE-2024-9461,"707, 74, 77, 78"
CVE-2024-9928,"1390, 284, 287, 307, 691, 799"
CVE-2024-9929,"200, 497, 664, 668"
CVE-2024-22117,"20, 707"
CVE-2024-36463,"664, 668, 767"
CVE-2024-52336,
CVE-2024-52337,"20, 707"
CVE-2024-11177,
CVE-2024-11407,682
CVE-2024-53365,"707, 74, 79"
CVE-2024-53555,"1236, 707, 74"
CVE-2024-10878,"707, 74, 79"
CVE-2024-51058,"284, 285, 552, 664, 668"
CVE-2024-11668,"613, 664, 666, 672"
CVE-2024-11669,"284, 285, 863"
CVE-2024-11828,"400, 405, 407, 664"
CVE-2024-32965,"441, 610, 664, 918"
CVE-2024-52008,"602, 693"
CVE-2024-53267,"345, 347, 693"
CVE-2024-53619,"434, 664, 669"
CVE-2024-53620,"707, 74, 79"
CVE-2024-53844,"22, 664, 668, 706"
CVE-2024-8114,"284, 285, 862"
CVE-2024-8177,"400, 405, 407, 664"
CVE-2024-8237,"400, 405, 407, 664"
CVE-2019-17082,"284, 287, 306"
CVE-2024-10240,"200, 497, 664, 668"
CVE-2024-11145,"502, 664, 913"
CVE-2024-11742,"707, 74, 79"
CVE-2024-11743,"345, 352, 693"
CVE-2024-49035,"269, 284"
CVE-2024-49038,"707, 74, 79"
CVE-2024-49052,"284, 287, 306"
CVE-2024-49053,"707, 74, 79"
CVE-2024-8676,"284, 285"
CVE-2024-11744,"707, 74"
CVE-2024-11745,"118, 119, 664"
CVE-2024-43784,"281, 284, 285, 664, 668, 732"
CVE-2024-50942,
CVE-2024-11622,"707, 74, 91"
CVE-2024-53673,"502, 664, 913"
CVE-2024-53674,"707, 74, 91"
CVE-2024-53675,"707, 74, 91"
CVE-2024-11817,"707, 74"
CVE-2024-11818,"707, 74"
CVE-2024-11819,"707, 74"
CVE-2024-53849,"118, 119, 121, 664, 787, 788"
CVE-2024-11820,"707, 74, 79"
CVE-2024-53676,"284, 285, 552, 664, 668"
CVE-2024-5921,"284, 287, 295"
CVE-2024-11083,"200, 664, 668"
CVE-2024-11219,"22, 664, 668, 706"
CVE-2024-52958,"345, 347, 693"
CVE-2024-52959,"664, 707, 74, 913, 94"
CVE-2024-10175,"707, 74, 79"
